,category,brewery,beer_name,abv,rb_name,rb_overall_rating,rb_weighted_avg,rb_ratings,rb_style,rb_style_rating
182,Ireland,Carlow Brewing,O’Hara’s Irish Stout,4.3%,Carlow Oâ??Haraâ??s Irish Stout,72,3.36,1245,Dry Stout,79
69,Atlantic,Garrison Brewing,New Scottish Ale,5.7%,Central City / Garrison â??Newâ?? Scottish Ale,72,3.35,24,Scotch Ale,50
10,Cider,Bulwark Cider,Original,5.8%,Bulwark Original Traditional Cider,72,3.34,19,Cider,92
177,Québec,Trou du Diable,Willow Gose,4.0%,Le Trou du Diable Willow Gose,71,3.35,34,Grodziskie/Gose/Lichtenhainer,49
248,Ontario,Sawdust City,Coriolis Effect,3.5%,Sawdust City X Barhop Coriolis Effect,71,3.35,31,Berliner Weisse,46
142,Atlantic,Spindrift Brewing,Plimsoll Sour Wheat Lager,3.6%,Jackâ??s Abby Berliner Style Lager,70,3.34,60,Berliner Weisse,46
72,Atlantic,Garrison Brewing,Hoppy Buoy IPA,6.5%,Garrison Hoppy Buoy American Style IPA,70,3.34,19,India Pale Ale (IPA),47
170,Québec,Dieu de Ciel!,Sentinelle,5.1%,Dieu du Ciel Sentinelle,69,3.33,84,KÃ¶lsch,96
289,Western Canada,Phillips Brewing,Shortwave Pale,5.2%,Phillips Short Wave West Coast Pale Ale,69,3.33,45,American Pale Ale,66
205,Ireland,Wicklow Wolf,India Pale Ale,6.3%,Wicklow Wolf IPA,69,3.33,26,India Pale Ale (IPA),46
73,Atlantic,Garrison Brewing,Juicy! DIPA,8.0%,Garrison Juicy! Double IPA,69,3.33,11,Imperial IPA,25
52,Atlantic,Breton Brewing,Stirling Hefeweizen,4.6%,Breton Brewing Stirling Hefeweizen,69,3.34,10,German Hefeweizen,96
336,USA,Sebago Brewing,Frye's Leap IPA,6.2%,Sebago Fryeâ??s Leap IPA,68,3.32,184,India Pale Ale (IPA),45
278,Western Canada,Hoyne Brewing,Helios Dortmunder,6.0%,Hoyne Helios Dortmunder Golden Lager,68,3.31,12,Dortmunder/Helles,98
195,Ireland,The White Hag,Little Fawn Session IPA,4.2%,White Hag Little Fawn,67,3.32,53,Session IPA,49
107,Atlantic,PEI Brewing Co.,Rogues Roost IPA,6.0%,Prince Edward Island Rogueâ??s Roost IPA,67,3.32,42,India Pale Ale (IPA),45
22,Cider,Finnbarra Cider,Medium-Dry,5.5%,Stonewell Medium Dry Irish Craft Cider,65,3.29,27,Cider,88
50,Atlantic,Breton Brewing,Black Angus IPA,6.2%,Breton Brewing Black Angus IPA,63,3.29,24,India Pale Ale (IPA),42
54,Atlantic,Breton Brewing,Seven Years Pale,5.2%,Breton Brewing Black Angus IPA,63,3.29,24,India Pale Ale (IPA),42
105,Atlantic,PEI Brewing Co.,1772 IPA,6.5%,Gahan 1772 IPA,62,3.28,76,India Pale Ale (IPA),41
224,Ontario,Creemore Springs,Kolsch Style Ale,4.7%,Creemore Springs KÃ¶lsch Style Ale,62,3.27,28,KÃ¶lsch,94
53,Atlantic,Breton Brewing,Sons of Hector Brown,5.0%,Breton Brewing Sons of Hector,60,3.27,11,Brown Ale,71
230,Ontario,Flying Monkeys Brewery,12 Minutes to Destiny,4.1%,Flying Monkeys 12 Minutes to Destiny,58,3.26,82,Spice/Herb/Vegetable,79
339,USA,Shipyard Brewery,Monkey Fist IPA,6.0%,Shipyard Monkey Fist IPA,57,3.26,423,India Pale Ale (IPA),37
41,Cider,Urban Farm Fermentory,Dry Cider,6.5%,Urban Farm Dry Cidah,57,3.24,19,Cider,83
294,Western Canada,Torque Brewing,Witty Belgian,4.7%,Torque The Witty Belgian,57,3.26,11,Witbier,85
326,USA,Lone Pine Brewery,Portland Pale,5.2%,Lone Pine Portland Pale Ale,56,3.25,10,American Pale Ale,49
154,Atlantic,Upstreet Brewing,Do-Gooder APA,5.5%,Upstreet Do-Gooder APA,55,3.24,19,American Pale Ale,48
196,Ireland,The White Hag,Tuireann Ban White IPA,6.2%,White Hag Tuireann Ban,55,3.24,17,India Pale Ale (IPA),35
295,Western Canada,Torque Brewing,Red Line IPA,6.5%,Torque Red Line IPA,55,3.25,16,India Pale Ale (IPA),36
20,Cider,Double Trouble Brewing,Grow a Pair Pear Cider,4.8%,Double Trouble Grow A Pear,55,3.25,13,Perry,93
222,Ontario,Creemore Springs,Premium Lager,5.0%,Creemore Springs Premium Lager,52,3.22,404,Premium Lager,95
342,USA,Shipyard Brewery,Island Time IPA,4.5%,Shipyard Island Time Session IPA,52,3.23,33,Session IPA,38
8,Cider,Brickworks Cider,Batch 1904 ,5.0%,Brickworks Batch 1904,52,3.22,27,Cider,79
159,Atlantic,Upstreet Brewing,White Noize White IPA,7.0%,Upstreet White Noize White IPA,52,3.22,15,Session IPA,38
216,Ontario,Big Rig Brewing,Big Boot Hefeweizen,4.8%,Big Rig Big Boot Hefeweizen,51,3.22,14,German Hefeweizen,89
313,International,Erdinger,Dunkel Weissbier,5.3%,Erdinger Dunkel,50,3.21,1750,Dunkelweizen,82
188,Ireland,Carlow Brewing,O'Hara's Pale,4.3%,Carlow Oâ??Haraâ??s Irish Pale Ale,50,3.22,421,American Pale Ale,46
247,Ontario,Sawdust City,Ol' Woody Alt,5.0%,Sawdust City Olâ?? Woody Alt,50,3.22,61,Altbier,73
186,Ireland,Carlow Brewing,Freebird White IPA,5.0%,Carlow Oâ??Haraâ??s Freebird White IPA,50,3.21,34,Wheat Ale,80
250,Western Canada,Bridge Brewery,Lemon Gin Saison,5.5%,Bridge Lemon Gin Saison,50,3.2,22,Saison,28
321,USA,Anchor Brewing,California Lager,4.9%,Anchor California Lager,49,3.2,739,Pale Lager,100
280,Western Canada,Hoyne Brewing,Dark Matter,5.3%,Hoyne Dark Matter,49,3.2,56,Porter,37
200,Ireland,Trouble Brewing,Sabotage IPA,5.5%,Trouble Brewing Sabotage IPA,49,3.2,47,India Pale Ale (IPA),30
97,Atlantic,Nine Locks Brewing,ESB,5.6%,Nine Locks E.S.B. Extra Special Bitter,49,3.2,16,Bitter,94
308,International,Brauerei Rittmayer,Kellerbier,5.0%,Rittmayer Hallerndorfer Kellerbier,48,3.17,124,Zwickel/Keller/Landbier,84
3,Gluten Free,Glutenberg,Glutenberg IPA,6.0%,Glutenberg India Pale Ale,48,3.18,91,India Pale Ale (IPA),27
187,Ireland,Carlow Brewing,Notorious Red IPA,5.0%,Carlow Oâ??Haraâ??s Notorious Red IPA,48,3.18,44,India Pale Ale (IPA),27
48,Atlantic,Boxing Rock Brewing,Sessionista,4.0%,Boxing Rock Sessionista,48,3.15,27,Bitter,89
153,Atlantic,Two Crows Brewing,Fantacity Dry-Hopped Witbier,5.1%,Category 12 Waveform Witbier,48,3.18,16,Witbier,73
35,Cider,Tempted Cider,Sweet Cider,5.0%,Tempted Irish Craft Cider Sweet,48,3.17,13,Cider,73
286,Western Canada,Parallel 49 Brewing,Wobbly Pop Pale,5.0%,Parallel 49 Wobbly Pop Pale Ale,48,3.17,13,American Pale Ale,42
36,Cider,Tempted Cider,Medium Dry Cider,5.7%,Tempted? Irish Craft Cider Medium Dry,48,3.18,10,Cider,72
231,Ontario,Flying Monkeys Brewery,Mythology Canadian Golden Pilsner,5.3%,Flying Monkeys Mythology Canadian Golden Pilsner,47,3.16,52,Czech Pilsner (Sv?tlÃ½),84
236,Ontario,Kichesippi Beer Co,1855 Amber Ale,5.1%,Kichesippi 1855,47,3.17,37,Brown Ale,50
2,Gluten Free,Glutenberg,Glutenberg Blanche,5.5%,Glutenberg Blanche / White,47,3.17,27,Witbier,70
312,International,Erdinger,Oktoberfest,5.7%,Erdinger FestweiÃ?e,46,3.14,756,German Hefeweizen,77
318,International,Mort Subite,Kriek,4.5%,Mort Subite Kriek,46,3.15,680,Lambic Style - Fruit,26
223,Ontario,Creemore Springs,Lot 6 Pilsner,4.7%,Creemore Springs Lot 9 Pilsner,46,3.15,74,Pilsener,87
235,Ontario,Kichesippi Beer Co,Heller Highwater,4.8%,Kichesippi Heller High Water,46,3.15,39,Dortmunder/Helles,94
296,Western Canada,Torque Brewing,What the Helles Lager,5.0%,Torque What the Helles,46,3.15,12,Dortmunder/Helles,94
204,Ireland,Wicklow Wolf,Elevation Pale Ale,4.8%,Wicklow Wolf Elevation Pale Ale,46,3.15,11,American Pale Ale,39
314,International,Erdinger,Weissbier,5.3%,Erdinger Weissbier (Hefe-Weizen),45,3.13,2304,German Hefeweizen,76
310,International,Budvar,Czechvar,5.0%,Budweiser Budvar B:Original (Czechvar) 12Â°,45,3.13,2202,Czech Pilsner (Sv?tlÃ½),80
192,Ireland,Mountain Man,Hairy Goat Ale,4.5%,Mountain Man Hairy Goat,45,3.13,21,Bitter,86
113,Atlantic,Pumphouse  Brewery,Amber (Cask),5.5%,Pumphouse Red Alert Ale,45,3.14,20,Amber Ale,65
183,Ireland,Carlow Brewing,51st State,6.0%,Carlow Oâ??Haraâ??s 51st State IPA,45,3.14,13,India Pale Ale (IPA),22
79,Atlantic,Grimross Brewing,Maritime Pale Ale,5.6%,Grimross Maritime Pale Ale,45,3.12,10,American Pale Ale,37
23,Cider,Finnbarra Cider,Dry,5.5%,Stonewell Dry Irish Craft Cider,44,3.11,20,Cider,60
211,Ontario,Beau's All Natural,Lug Tread Ale,5.2%,Beauâ??s Lug Tread Lagered Ale,43,3.1,238,KÃ¶lsch,77
156,Atlantic,Upstreet Brewing,Rhuby Social Strawberry Rhubarb,5.0%,Upstreet Rhuby Social,43,3.11,18,Fruit Beer,69
301,Western Canada,Whistler Brewing,Function Junction NW Pale,4.8%,Whistler Function Junction Northwest Pale Ale,43,3.1,11,American Pale Ale,33
325,USA,Gritty's Brewing,Maine's Best IPA,6.9%,Gritty McDuffs Maineâ??s Best IPA,42,3.09,73,India Pale Ale (IPA),17
285,Western Canada,Parallel 49 Brewing,Tricycle Grapefruit Radler,3.5%,Parallel 49 Tricycle Radler - Grapefruit,42,3.09,61,Radler/Shandy,99
155,Atlantic,Upstreet Brewing,Commons Czech Pilsner,4.5%,Upstreet Commons Czech Style Pilsner,42,3.09,18,Czech Pilsner (Sv?tlÃ½),75
315,International,Greene King,Old Speckled Hen,5.2%,Morland Old Speckled Hen (Filtered),41,3.08,1856,Premium Bitter/ESB,48
185,Ireland,Carlow Brewing,OPsession IPA,4.0%,Carlow Oâ??Haraâ??s â??Opsession,41,3.07,25,India Pale Ale (IPA),16
181,Ireland,Carlow Brewing,O’Hara’s Irish Red,4.3%,Carlow Oâ??Haraâ??s Irish Red,40,3.06,878,Irish Ale,56
112,Atlantic,Pumphouse  Brewery,Blueberry Ale,5.0%,Pump House Blueberry Ale,40,3.05,148,Fruit Beer,60
322,USA,Baxter Brewing,Summer Swelter Ale,4.7%,Baxter Summer Swelter Ale,40,3.06,43,Spice/Herb/Vegetable,48
277,Western Canada,Howe Sound Brewing,You're my Blue Boy Blueberry,4.5%,Howe Sound Youâ??re My Boy Blue! Blueberry Wheat Ale,40,3.04,23,Fruit Beer,62
320,International,Stiegl Brewery,Stiegl Grapefruit Radler ,2.5%,Stiegl Radler Grapefruit,39,3.04,439,Radler/Shandy,98
104,Atlantic,PEI Brewing Co.,Gahan Blueberry Ale,4.5%,Gahan Blueberry Ale,39,3.05,64,Fruit Beer,60
252,Western Canada,Bridge Brewery,Bourbon Blood Orange Wheat Ale,5.5%,Bridge Bourbon Blood Orange Wheat Ale,39,3.05,28,Fruit Beer,60
51,Atlantic,Breton Brewing,Red Coat Irish Red,5.0%,Breton Brewing Red Coat Irish Red Ale,39,3.04,12,Irish Ale,53
338,USA,Sebago Brewing,Runabout Red,4.4%,Sebago Runabout Red Ale,38,3.03,98,Amber Ale,46
281,Western Canada,Lighthouse Brewing,Race Rocks Ale,5.2%,Lighthouse Race Rocks Ale,38,3.03,67,Amber Ale,46
5,Cider,Andrew Peller,No Boats on Sunday,5.8%,Peller Estates No Boats On Sunday,38,3.03,12,Cider,48
270,Western Canada,Granville Is. Brewing,Two Tide India Session Ale,4.6%,Granville Island Two Tides India Session Ale,37,3.02,51,Session IPA,15
209,Ontario,Amsterdam Brewery,Spotted Cow White Wheat,5.0%,Amsterdam Spotted Cow,37,3.01,13,Witbier,45
282,Western Canada,Lighthouse Brewing,Citrus Shore Session Ale,4.6%,Lighthouse Citrus Shore,37,3.01,10,Session IPA,14
335,USA,Sea Dog Brewery,Seadog Sunfish,4.5%,Sea Dog Sunfish Wheat,36,3.01,71,Fruit Beer,53
47,Atlantic,Boxing Rock Brewing,Hunky Dory,5.0%,Boxing Rock Hunky Dory Pale Ale,36,3.01,24,American Pale Ale,24
272,Western Canada,Half Pints Brewery,St. James Pale,4.8%,Half Pints St. James Pale Ale,35,2.98,69,KÃ¶lsch,50
237,Ontario,Kichesippi Beer Co,Bristol Stout,4.8%,Kichesippi Bristol Stout,35,2.99,10,Sweet Stout,12
148,Atlantic,Triders Brewing,White Ogre IPA,5.5%,The Kingâ??s English IPA,34,2.98,77,India Pale Ale (IPA),9
91,Atlantic,Moosehead Brewery,Hop City Barking Squirrel,5.0%,Hop City Barking Squirrel Lager,33,2.98,374,Amber Lager/Vienna,77
68,Atlantic,Garrison Brewing,Irish Red Ale,5.0%,Garrison Irish Red Ale,31,2.93,106,Irish Ale,39
92,Atlantic,Moosehead Brewery,Moosehead Anniversary Ale,5.3%,Moosehead Anniversary Ale,30,2.93,15,Amber Ale,37
123,Atlantic,Rare Bird Craft Beer,Rare Bird IPA,5.5%,Rare Bird Pale Ale,30,2.93,15,American Pale Ale,16
25,Cider,Finnbarra Cider,Stonewell Ros,5.0%,Brewpub KÃ¸benhavn RosÃ© Cider,30,2.93,10,Cider,40
118,Atlantic,Quidi Vidi Brewing,1892 Traditional,5.0%,Quidi Vidi 1892 - Traditional Ale,29,2.9,107,Amber Ale,35
198,Ireland,Trouble Brewing,Deception Golden,4.3%,Trouble Brewing Deception Golden Ale,27,2.87,51,Golden Ale/Blond Ale,36
90,Atlantic,Moosehead Brewery,Moose Light Radler,4.0%,Moose Light Radler,27,2.89,14,Radler/Shandy,97
94,Atlantic,Moosehead Brewery,Moose Light Radler Watermelon,4.0%,Moose Light Radler,27,2.89,14,Radler/Shandy,97
251,Western Canada,Bridge Brewery,The Fuzz Milkshake IPA,6.0%,Bridge The Fuzz,27,2.9,14,India Pale Ale (IPA),6
16,Cider,Chainyard Cider,Hopped Up,6.0%,Blue Blood All Hopped Up,26,2.88,24,India Pale Ale (IPA),5
343,USA,Shipyard Brewery,Export Ale,5.1%,Shipyard Export,25,2.86,725,Golden Ale/Blond Ale,33
265,Western Canada,Fort Garry Brewing,Fort Garry Dark,5.0%,Fort Garry Dark Ale,25,2.86,79,Brown Ale,20
300,Western Canada,Whistler Brewing,Grapefruit Ale,5.0%,Whistler Paradise Valley Grapefruit Ale,25,2.86,72,Fruit Beer,43
324,USA,Gritty's Brewing,Vacationland Summer Ale,4.9%,Gritty McDuffs Vacationland Summer Ale,23,2.83,128,Golden Ale/Blond Ale,30
1,Gluten Free,Glutenberg,Glutenberg Red,5.0%,Glutenberg Rousse,23,2.84,61,Amber Ale,26
257,Western Canada,Coal Harbour Brewing,311 Helles Lager,5.0%,Coal Harbour 311 Helles Lager,21,2.79,16,Dortmunder/Helles,44
189,Ireland,Guinness,Hop House 13,5.0%,Hop House 13 Lager,20,2.79,161,Pale Lager,97
70,Atlantic,Garrison Brewing,Raspberry Wheat Ale,4.6%,Garrison Raspberry Wheat,19,2.74,85,Fruit Beer,35
263,Western Canada,Farmery Estate Brewery,Blonde Canadian Pale,5.5%,The Farmery Blonde Canadian Pale Ale,19,2.76,12,Golden Ale/Blond Ale,22
13,Cider,Carlsberg,Somersby Blackberry,4.5%,Somersby Blackberry,19,2.78,10,Cider,26
309,International,Brouwerij Huyghe,Fruli Strawberry Ale,5.0%,Van Diest FrÃ¼li Strawberry Beer,18,2.74,676,Fruit Beer,34
116,Atlantic,Pumphouse  Brewery,Cadian Cream,5.0%,Pump House Cadian Cream Ale,17,2.72,70,Cream Ale,23
38,Cider,Thornbury Brewing,Craft Apple Cider,5.3%,Thornbury Premium Apple Cider,17,2.66,28,Cider,21
319,International,Stiegl Brewery,Stiegl Bavarian Lager,4.9%,Stiegl GoldbrÃ¤u,16,2.7,696,Premium Lager,48
279,Western Canada,Hoyne Brewing,Summer Haze,5.1%,Hoyne Summer Haze Honey Hefeweizen,16,2.71,19,German Hefeweizen,16
103,Atlantic,PEI Brewing Co.,Beach Chair Lager,4.5%,Prince Edward Island Beach Chair Lager,15,2.63,52,Pale Lager,94
78,Atlantic,Grimross Brewing,Braunschweig Pilsner,4.5%,Braugold Spezial Pilsner,15,2.61,37,Pilsener,35
67,Atlantic,Garrison Brewing,Tall Ship Ale,5.0%,Garrison Tall Ship Amber,14,2.65,96,Amber Ale,10
106,Atlantic,PEI Brewing Co.,Gahan Sir John A,4.5%,Gahan Sir John Aâ??s Honey Wheat Ale,14,2.62,94,Wheat Ale,16
262,Western Canada,Farmery Estate Brewery,Premium Lager,5.0%,The Farmery Premium Lager,14,2.65,44,Premium Lager,44
269,Western Canada,Granville Is. Brewing,False Creek Raspberry Ale,4.5%,Granville Island False Creek Raspberry Ale,13,2.62,72,Fruit Beer,26
208,Ontario,Amsterdam Brewery,3 Speed Lager,4.2%,Amsterdam 3 Speed,13,2.61,29,Pale Lager,93
298,Western Canada,Vancouver Island Brewing,Sombrio Citrus Session,4.0%,Vancouver Island Sombrio Citrus Session,13,2.59,10,India Pale Ale (IPA),1
268,Western Canada,Granville Is. Brewing,Cypress Honey Lager,4.7%,Granville Island Cypress Honey Lager,12,2.58,113,Pale Lager,92
220,Ontario,Cool Brewing,Millenium Buzz Beer,5.0%,Cool Beer Millennium Buzz,12,2.55,99,Amber Lager/Vienna,34
271,Western Canada,Granville Is. Brewing,Island Lager,5.0%,Granville Island Island Lager,11,2.52,133,Pale Lager,90
46,Atlantic,Alexander Keith's,Highland Pils (Cask),5.0%,Alexander Keiths Nova Scotia Style Pale Ale,11,2.5,67,English Pale Ale,8
299,Western Canada,Vancouver Island Brewing,Victoria Lager,4.8%,Vancouver Island Victoria Lager,11,2.51,30,Pale Lager,89
0,Gluten Free,Glutenberg,Glutenberg Blonde,4.5%,Glutenberg Blonde,10,2.49,70,Specialty Grain,7
227,Ontario,Double Trouble Brewing,Trailer Park Boys Freedom 35 Lager,5.0%,Double Trouble Trailer Park Boys Freedom 35,10,2.49,21,Pale Lager,88
238,Ontario,Mill St,Organic Lager,4.3%,Mill Street Original Organic Lager,8,2.35,277,Pale Lager,79
95,Atlantic,Moosehead Brewery,Moosehead Pale Ale,5.0%,Moosehead Pale Ale,8,2.36,190,Golden Ale/Blond Ale,3
4,Gluten Free,Mongozo,Premium Pilsner,5.0%,Mongozo Premium Pilsener,7,2.33,217,Premium Lager,20
303,International,Bavaria Brewery,Bavaria 8.6 Red Lager,7.9%,Bavaria 8.6 Red,7,2.3,215,Imperial Pils/Strong Pale Lager,35
311,International,Carlsberg,Carlsberg Lager,5.0%,Carlsberg Pilsner,6,2.23,1522,Pilsener,10
12,Cider,Carlsberg,Somersby Apple,4.5%,Somersby Apple Cider,6,2.25,251,Cider,5
119,Atlantic,Quidi Vidi Brewing,Iceberg Beer,4.5%,Quidi Vidi Iceberg Beer,5,2.15,37,Pale Lager,53
304,International,Bavaria Brewery,Bavaria Premium Lager,5.0%,Bavaria Premium Lager Beer 4.3%,3,1.97,70,Pale Lager,38
221,Ontario,Cool Brewing,Stonewall Light,4.0%,Cool Beer Stonewall Light Lager,2,1.9,40,Pale Lager,29
71,Atlantic,Garrison Brewing,Seaport Blonde,4.0%,Garrison Seaport Blonde,,2.88,9,Golden Ale/Blond Ale,
288,Western Canada,Phillips Brewing,Pilsner,5.0%,Phillips Rifflandabrau Pilsner,,2.89,9,Pilsener,
27,Cider,O Haras,Falling Apple ,5.0%,Carlow Falling Apple,,2.74,8,Cider,
57,Atlantic,Downeast Brewing,Scottish Blonde,9.0%,Edge Brewing / Cigar City Ciders & Meads Stealth Braggot,,3.09,8,Cider,
99,Atlantic,Nine Locks Brewing,Porter,5.0%,Nine Locks Porter,,3.31,8,Porter,
102,Atlantic,Nine Locks Brewing,Watermelon Blonde,5.0%,Nine Locks Watermelon Blonde,,3.18,8,Golden Ale/Blond Ale,
108,Atlantic,PEI Brewing Co.,Gahan Vic Park Pale,5.0%,Gahan Vic Park Pale Ale,,3.3,8,American Pale Ale,
201,Ireland,Trouble Brewing,Kill Lager,4.9%,Trouble Brewing Kill Lager,,3.27,8,Amber Lager/Vienna,
267,Western Canada,Fort Garry Brewing,Big Buddha,5.0%,Fort Garry Big Buddha,,2.79,8,Spice/Herb/Vegetable,
297,Western Canada,Vancouver Island Brewing,Juan de Fuca Cerveza,4.8%,Vancouver Island Juan de Fuca Cerveza,,2.24,8,Pale Lager,
74,Atlantic,Garrison Brewing,Pucker-up! Pomegranate Kettle Sour,4.7%,Acoustic Ales Strawberry Fields,,3.47,7,Sour/Wild Ale,
81,Atlantic,Grimross Brewing,Cheval D'Or,5.6%,Grimross Cheval Dâ??Or,,3.36,7,Saison,
